popularity,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,Key_0,Key_1,Key_2,Key_3,Key_4,Key_5,Key_6,Key_7,Key_8,Key_9,Key_10,Key_11,liveness,loudness,mode,speechiness,tempo,valence,count
0,0.83,0.717,145725,0.179,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.282,-11.752,1,0.0436,150.118,0.651,47
52,0.373,0.753,258973,0.826,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.113,-7.128,0,0.0614,115.797,0.649,159
27,0.0211,0.438,174000,0.558,0,6.94E-05,0,0,0,1,0,0,0,0,0,0,0,0,0.442,-13.45,1,0.0322,99.779,0.798,173
41,0.0172,0.67,286000,0.842,0,0.028,1,0,0,0,0,0,0,0,0,0,0,0,0.304,-6.826,1,0.0353,120.025,0.891,44
33,0.641,0.44,151093,0.0981,0,0.000329,1,0,0,0,0,0,0,0,0,0,0,0,0.0982,-14.994,1,0.0296,87.858,0.359,219
35,0.0078,0.524,241000,0.778,0,3.77E-05,1,0,0,0,0,0,0,0,0,0,0,0,0.117,-9.769,1,0.0363,78.223,0.551,82
3,0.0079,0.502,260973,0.63,0,0.289,1,0,0,0,0,0,0,0,0,0,0,0,0.0938,-12.049,1,0.0495,119.079,0.518,228
35,0.487,0.388,199773,0.609,0,2.50E-05,0,0,0,0,0,0,0,1,0,0,0,0,0.263,-9.545,1,0.0443,73.426,0.599,47
46,6.82E-05,0.418,131120,0.836,0,0.0012,0,0,0,0,0,1,0,0,0,0,0,0,0.102,-5.658,1,0.0693,141.313,0.46,352
34,0.167,0.673,177507,0.69,0,7.63E-06,0,0,0,0,0,0,0,0,0,1,0,0,0.124,-10.111,1,0.0328,166.495,0.925,103
0,0.213,0.675,319573,0.827,0,3.23E-05,1,0,0,0,0,0,0,0,0,0,0,0,0.17,-3.504,0,0.0384,128.047,0.906,4
30,0.0106,0.62,237640,0.996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0583,-8.284,1,0.116,111.956,0.185,26
0,0.996,0.542,187560,0.0496,0,0.96,0,0,0,0,0,0,0,0,0,0,1,0,0.12,-20.616,0,0.0614,69.946,0.611,8
13,0.622,0.728,170387,0.253,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.111,-13.378,1,0.0684,106.93,0.669,26
18,0.923,0.181,152787,0.16,0,4.19E-05,0,0,0,0,0,1,0,0,0,0,0,0,0.272,-14.428,1,0.0318,83.181,0.215,10
66,0.805,0.879,150271,0.268,1,0.0187,0,1,0,0,0,0,0,0,0,0,0,0,0.102,-12.133,1,0.333,114.928,0.036,2
27,0.116,0.728,194227,0.552,0,0.00192,0,1,0,0,0,0,0,0,0,0,0,0,0.0517,-10.356,0,0.0292,114.916,0.628,251
51,0.646,0.469,275707,0.318,0,0.000165,0,1,0,0,0,0,0,0,0,0,0,0,0.105,-8.648,1,0.0253,82.135,0.116,36
56,0.156,0.328,464280,0.553,0,0.412,0,0,0,0,0,0,1,0,0,0,0,0,0.0985,-6.252,1,0.0267,159.959,0.322,6
0,0.994,0.727,195758,0.0544,0,0.00202,0,0,0,0,1,0,0,0,0,0,0,0,0.128,-11.439,0,0.528,117.945,0.757,6
5,0.989,0.561,197808,0.0594,0,0.945,0,0,0,0,0,0,0,0,1,0,0,0,0.114,-25.086,1,0.0488,67.473,0.416,16
3,0.992,0.738,196667,0.199,0,0.798,0,1,0,0,0,0,0,0,0,0,0,0,0.0568,-11.82,0,0.0851,110.703,0.438,34
30,0.0339,0.797,285373,0.682,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.102,-7.832,1,0.27,76.965,0.529,51
10,0.931,0.359,210680,0.059,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0653,-19.565,1,0.0347,69.208,0.152,951
3,0.774,0.713,181400,0.226,0,0.000226,0,0,0,0,0,0,0,0,0,0,1,0,0.167,-12.451,1,0.0336,114.714,0.72,217
55,0.371,0.607,311733,0.619,0,2.82E-06,1,0,0,0,0,0,0,0,0,0,0,0,0.147,-12.23,1,0.0825,164.315,0.66,19
5,0.992,0.553,179096,0.237,0,0.36,0,0,0,0,0,0,0,0,1,0,0,0,0.147,-13.361,0,0.0536,92.154,0.601,28
40,0.00108,0.61,167200,0.975,1,0.0588,0,0,0,0,0,0,0,0,0,0,1,0,0.358,-5.003,0,0.0702,145.035,0.629,16
24,0.475,0.485,564000,0.418,0,0.00304,0,0,0,0,0,0,0,0,0,0,0,1,0.18,-13.618,1,0.0383,108.172,0.665,72
14,0.146,0.57,179427,0.898,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.131,-2.956,1,0.0865,188.057,0.962,19
62,0.085,0.675,179413,0.874,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0573,-4.268,1,0.0494,139.021,0.673,178
55,0.00501,0.415,466560,0.456,0,0.763,0,0,0,0,0,0,0,0,0,1,0,0,0.178,-12.082,1,0.0352,151.937,0.0935,78
22,0.695,0.402,122560,0.879,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0736,-5.854,0,0.117,167.588,0.794,26
45,0.78,0.438,320893,0.464,0,2.74E-06,1,0,0,0,0,0,0,0,0,0,0,0,0.161,-9.131,1,0.0277,106.937,0.288,114
29,2.59E-06,0.28,144827,0.933,0,0.942,0,1,0,0,0,0,0,0,0,0,0,0,0.134,-9.795,1,0.0381,99.579,0.731,220
14,0.305,0.484,189693,0.198,0,0.00326,0,0,0,0,0,0,0,0,1,0,0,0,0.299,-19.161,1,0.14,85.484,0.842,68
31,0.00383,0.315,619969,0.876,0,0.385,0,0,0,0,0,0,0,0,0,1,0,0,0.286,-11.049,1,0.0992,138.875,0.573,34
67,0.268,0.437,200387,0.522,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.126,-7.048,1,0.031,169.366,0.72,212
39,0.176,0.596,274599,0.56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.095,-10.23,1,0.0297,135.355,0.526,8
33,0.00172,0.342,385427,0.983,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.108,-5.161,1,0.142,139.786,0.434,92
0,0.0177,0.299,137509,0.959,0,0.000136,0,0,0,0,0,0,0,0,0,1,0,0,0.103,-4.332,1,0.0907,110.57,0.629,104
65,0.00118,0.541,216067,0.864,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0896,-4.915,1,0.0357,124.557,0.435,21
43,0.14,0.651,190893,0.682,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.204,-8.507,1,0.1,179.276,0.918,22
76,0.1,0.414,186268,0.416,0,0.179,0,0,0,0,0,0,0,0,0,0,0,1,0.131,-8.024,0,0.0251,159.91,0.196,87
9,0.992,0.355,185813,0.12,0,0.44,0,0,0,0,0,0,0,0,0,1,0,0,0.145,-16.66,1,0.031,86.106,0.268,314
31,0.308,0.609,148867,0.609,0,0.17,0,0,0,0,0,0,0,0,0,1,0,0,0.297,-11.232,1,0.0311,132.133,0.789,182
3,0.0332,0.481,195000,0.862,0,5.14E-06,0,1,0,0,0,0,0,0,0,0,0,0,0.105,-5.029,0,0.118,127.966,0.232,2
0,0.996,0.636,203076,0.108,0,0.0492,0,0,1,0,0,0,0,0,0,0,0,0,0.133,-15.197,1,0.0881,85.657,0.3,28
0,0.00135,0.561,371187,0.974,0,0.067,0,0,1,0,0,0,0,0,0,0,0,0,0.302,-6.568,1,0.0578,105.005,0.563,4
42,0.0258,0.442,162947,0.978,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.212,-3.653,1,0.128,95.585,0.45,30
56,0.518,0.753,245787,0.822,0,1.72E-06,0,0,0,1,0,0,0,0,0,0,0,0,0.125,-4.914,1,0.031,125,0.765,36
17,0.286,0.499,214267,0.758,0,0.0198,0,0,1,0,0,0,0,0,0,0,0,0,0.098,-9.414,1,0.0591,102.319,0.522,72
27,0.578,0.684,183933,0.344,0,0.00549,1,0,0,0,0,0,0,0,0,0,0,0,0.103,-16.524,0,0.055,120.982,0.268,24
12,0.0868,0.723,262748,0.956,1,0.00138,0,0,0,0,0,0,0,1,0,0,0,0,0.58,-5.26,1,0.126,134.983,0.433,105
22,0.827,0.393,144333,0.147,0,3.94E-05,1,0,0,0,0,0,0,0,0,0,0,0,0.0915,-16.186,1,0.0297,82.804,0.534,176
55,0.225,0.527,189507,0.572,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.235,-8.199,1,0.0269,136.117,0.364,6
0,0.000366,0.412,729019,0.941,0,0.925,1,0,0,0,0,0,0,0,0,0,0,0,0.175,-5.212,1,0.0363,140,0.189,2
53,0.328,0.716,170667,0.456,0,0.918,0,1,0,0,0,0,0,0,0,0,0,0,0.1,-15.715,0,0.0393,121.762,0.783,102
57,0.422,0.422,260276,0.641,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.317,-4.947,0,0.323,187.027,0.654,2
29,0.468,0.743,230893,0.597,0,4.16E-05,0,0,0,0,0,1,0,0,0,0,0,0,0.0712,-7.015,1,0.0618,146.751,0.975,14
25,0.000493,0.171,127573,0.964,0,0.832,1,0,0,0,0,0,0,0,0,0,0,0,0.0851,-9.06,0,0.0836,159.624,0.269,84
45,0.131,0.737,184453,0.73,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0735,-3.498,1,0.145,87.207,0.67,2
23,0.504,0.534,152533,0.695,0,0.000661,1,0,0,0,0,0,0,0,0,0,0,0,0.075,-11.782,1,0.0375,124.353,0.963,192
66,0.0897,0.715,240080,0.838,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.15,-6.077,0,0.118,120.007,0.497,94
1,0.961,0.469,191373,0.349,0,0.621,1,0,0,0,0,0,0,0,0,0,0,0,0.288,-9.339,1,0.0375,77.001,0.827,101
33,0.14,0.695,196440,0.388,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0902,-15.232,1,0.0305,116.067,0.569,22
25,0.726,0.748,162187,0.543,0,0.000293,0,0,0,0,1,0,0,0,0,0,0,0,0.0964,-12.093,0,0.0704,128.291,0.639,8
30,0.687,0.716,194000,0.26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.11,-16.959,1,0.0287,84.227,0.78,11
31,0.582,0.652,168013,0.709,0,1.06E-06,0,0,0,0,0,1,0,0,0,0,0,0,0.225,-13.064,1,0.056,171.865,0.964,86
0,4.90E-05,0.534,221296,0.974,0,0.344,0,0,0,0,0,0,0,0,0,0,1,0,0.141,-4.377,0,0.087,147.023,0.103,8
0,0.994,0.521,140520,0.0501,0,0.714,0,0,1,0,0,0,0,0,0,0,0,0,0.109,-20.734,0,0.0608,130.217,0.505,1248
33,0.316,0.532,259307,0.615,0,2.10E-06,1,0,0,0,0,0,0,0,0,0,0,0,0.382,-4.47,1,0.0353,178.356,0.729,44
0,0.00748,0.86,76813,0.749,0,0.000871,0,0,0,0,0,0,0,1,0,0,0,0,0.0845,-9.741,0,0.172,123.966,0.766,38
36,0.677,0.624,169629,0.42,0,0.000694,0,0,0,0,0,0,0,1,0,0,0,0,0.111,-9.907,1,0.0345,80.021,0.838,10
75,0.108,0.795,183000,0.496,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0645,-5.883,1,0.0722,94.01,0.874,42
31,0.684,0.402,275333,0.206,0,0.00135,0,0,0,0,0,1,0,0,0,0,0,0,0.107,-19.784,0,0.0465,168.31,0.427,108
12,0.624,0.162,202840,0.246,0,1.04E-06,0,0,0,0,0,0,1,0,0,0,0,0,0.127,-12.858,0,0.0362,83.928,0.268,234
0,0.993,0.319,217558,0.0191,0,0.932,0,0,0,1,0,0,0,0,0,0,0,0,0.0903,-25.178,0,0.0493,79.379,0.0625,30
69,0.0491,0.6,175040,0.716,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.109,-5.554,0,0.384,180.165,0.246,19
56,0.0323,0.809,253933,0.577,1,2.72E-06,0,0,0,0,0,0,0,1,0,0,0,0,0.149,-5.114,0,0.0346,85,0.379,85
0,0.807,0.717,164000,0.132,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.146,-15.98,1,0.951,67.439,0.425,2124
3,0.909,0.401,170387,0.111,0,0.000634,1,0,0,0,0,0,0,0,0,0,0,0,0.211,-13.76,1,0.0413,123.741,0.234,108
20,0.314,0.581,243547,0.539,0,0.00294,1,0,0,0,0,0,0,0,0,0,0,0,0.175,-10.515,1,0.041,97.031,0.792,375
72,0.272,0.711,194293,0.362,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.127,-10.851,0,0.0381,117.287,0.616,444
0,0.856,0.591,218693,0.332,0,0.000118,0,0,0,0,0,0,0,1,0,0,0,0,0.112,-11.244,1,0.0336,128.695,0.219,2
33,0.143,0.752,247000,0.336,0,1.29E-06,0,0,1,0,0,0,0,0,0,0,0,0,0.0671,-15.097,1,0.0268,89.631,0.783,59
34,0.0267,0.576,129880,0.952,0,0.00113,1,0,0,0,0,0,0,0,0,0,0,0,0.19,-7.244,1,0.0406,149.251,0.964,64
